INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-13 19:42:52.2710 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-13 19:42:52.2710 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-13 19:42:52.2710 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-13 19:42:52.2710 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-13 19:42:52.2710 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-13 21:15:17.0586 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-13 21:15:17.0586 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-13 21:15:17.0586 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-13 21:15:17.0586 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-13 21:15:17.0586 |***| 0|***| Microsoft.Hosting.Lifetime|
