INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:16:47.1181 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:16:51.9281 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:19:10.2112 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:19:10.2112 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:19:10.2112 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:19:14.2001 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:20:42.8955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:20:42.8955 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:20:42.8955 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:20:47.3362 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-04 13:25:14.1949 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-04 13:25:14.1949 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-04 13:25:14.1949 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-04 13:25:14.1949 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-04 13:25:14.1949 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-04 13:25:19.5812 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:32:09.9679 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
WARN |***| The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. If the 'Distinct' operator is used after 'OrderBy', then make sure to use the 'OrderBy' operator after 'Distinct' as the ordering would otherwise get erased.  |***| 2022-10-04 13:32:10.1036 |***| 10102|***| Microsoft.EntityFrameworkCore.Query|
WARN |***| The query uses a row limiting operator ('Skip'/'Take') without an 'OrderBy' operator. This may lead to unpredictable results. If the 'Distinct' operator is used after 'OrderBy', then make sure to use the 'OrderBy' operator after 'Distinct' as the ordering would otherwise get erased.  |***| 2022-10-04 13:32:10.1036 |***| 10102|***| Microsoft.EntityFrameworkCore.Query|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:32:10.1464 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 4, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:32:10.1464 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:32:24.2011 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:32:24.2172 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 5, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:32:24.2172 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:32:38.7801 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:32:38.7952 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 6, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:32:38.7952 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:32:46.1387 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:32:46.1544 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 7, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:32:46.1544 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:32:53.6858 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:32:53.7012 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 8, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:32:53.7012 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:37:12.3324 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:37:12.3586 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 9, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:37:12.3586 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:37:32.7269 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:37:32.7330 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 10, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:37:32.7330 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:37:55.8012 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:37:55.8113 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 11, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:37:55.8113 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:38:09.5634 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:38:09.5943 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 12, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:38:09.5943 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:38:20.9683 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:38:20.9683 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 13, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:38:20.9683 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:38:32.0321 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-04 13:38:32.0450 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 14, TotalPages: 2, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-04 13:38:32.0450 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| مین اسلایدر جدید ساخته شد  |***| 2022-10-04 13:39:01.7794 |***| 0|***| KalaMarket.Infrastructure.LoggerManger|
