INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-07 07:52:34.6971 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-07 07:52:34.6971 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-07 07:52:34.6991 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-07 07:52:34.6991 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-07 07:52:34.6991 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'TotalPrice' on entity type 'Cart'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 07:52:40.2869 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'CartItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 07:52:40.2869 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 07:52:40.2869 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-07 08:06:19.1668 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-07 08:06:19.1668 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-07 08:06:19.1681 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-07 08:06:19.1681 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-07 08:06:19.1681 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'TotalPrice' on entity type 'Cart'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:06:23.5643 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'CartItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:06:23.5643 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:06:23.5643 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-07 08:08:01.4353 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-07 08:08:01.4353 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-07 08:08:01.4353 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-07 08:08:01.4353 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-07 08:08:01.4353 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'TotalPrice' on entity type 'Cart'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:08:06.6626 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'CartItem'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:08:06.6626 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-10-07 08:08:06.6626 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-07 08:08:19.6803 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 2, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-07 08:08:19.6803 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
WARN |***| Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.  |***| 2022-10-07 08:08:21.0096 |***| 20504|***| Microsoft.EntityFrameworkCore.Query|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-07 08:08:38.1384 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 2, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-07 08:08:38.1384 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper SettingsJson: default - default  |***| 2022-10-07 08:09:23.7611 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| ----> PagingTagHelper - PageNo: 1, PageSize: 8, TotalRecords: 2, TotalPages: 1, QueryStringKeyPageNo: page, QueryStringKeyPageSize: pageSize,   |***| 2022-10-07 08:09:23.7611 |***| 0|***| LazZiya.TagHelpers.PagingTagHelper|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-10-07 08:17:35.6929 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-10-07 08:17:35.6929 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-10-07 08:17:35.6929 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-10-07 08:17:35.6929 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-10-07 08:17:35.6929 |***| 0|***| Microsoft.Hosting.Lifetime|
