INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-20 00:17:35.7899 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-20 00:17:35.7899 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-20 00:17:35.7899 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-20 00:17:35.7899 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-20 00:17:35.7899 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-09-20 00:17:38.1443 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-20 01:29:06.5300 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-20 01:29:06.5300 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-20 01:29:06.5335 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-20 01:29:06.5335 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-20 01:29:06.5335 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-09-20 01:29:10.7837 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-20 01:31:08.7242 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-20 01:31:08.7242 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-20 01:31:08.7242 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-20 01:31:08.7242 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-20 01:31:08.7242 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-09-20 01:31:12.5406 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-20 02:31:32.6952 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Now listening on: http://localhost:5060  |***| 2022-09-20 02:31:32.6952 |***| 14|***| Microsoft.Hosting.Lifetime|
INFO |***| Application started. Press Ctrl+C to shut down.  |***| 2022-09-20 02:31:32.6952 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Hosting environment: Development  |***| 2022-09-20 02:31:32.6952 |***| 0|***| Microsoft.Hosting.Lifetime|
INFO |***| Content root path: C:\WorkSpace\Asp\Projects\KalaMarket\Src\KalaMarket\KalaMarket.EndPoint\  |***| 2022-09-20 02:31:32.6952 |***| 0|***| Microsoft.Hosting.Lifetime|
WARN |***| No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.  |***| 2022-09-20 02:31:37.7895 |***| 30000|***| Microsoft.EntityFrameworkCore.Model.Validation|
INFO |***| Now listening on: https://localhost:7060  |***| 2022-09-20 02:33:14.7085 |***| 14|***| Microsoft.Hosting.Lifetime|
